# Curated RepBase family -> (repFamily, repClass) for the hg38 reference index.
#
# Provenance: columns 1, 4 and 5 of the RepBase block (lines 5277-6500) of
# examples/inputs/hg38/MASTER_FILELIST.20201203...wmiRs.tsv, the 2020 reference file.
# Same derivation style as refdata/repbase18.05-classes.txt and -drop-exact.txt.
#
# WHY IT EXISTS (-475.42): 354 of these 1,224 families have no genomic instances in the
# modern UCSC rmsk track, so no repClass/repFamily is available for them and column 4 --
# the label reads are counted under -- would otherwise fall back to the family's own name,
# splitting e.g. alpha-satellite variants out of centr instead of pooling them.
#
# CIRCULAR: derived from the reference, so it must be EXCLUDED when measuring how well an
# autogenerated hg38 filelist reproduces that reference (-475.22). It is consulted only
# AFTER the rmsk table, so current RepeatMasker calls always win and post-2020
# reclassification stays visible rather than being frozen.
#
# Mouse uses this file too: 170 mouse RepBase families share an exact family name with a
# human one, and 167 of 168 shared names carry the identical RepBase class token in both
# species, so a shared name is the same consensus family.
family	repFamily	repClass
LTR9	ERV1	LTR
MER92B	ERV1	LTR
MER41C	ERV1	LTR
LTR88A	Gypsy	LTR
MER6	TcMar-Tigger	DNA
KANGA1	TcMar-Tc2	DNA
MER106B	hAT-Charlie	DNA
TIGGER6A	TcMar-Tigger	DNA
MER61A	ERV1	LTR
MER34A1	ERV1	LTR
MER72	ERV1	LTR
MER135	DNA	DNA
LTR12	ERV1	LTR
MER110	ERV1	LTR
MER54A	ERVL	LTR
MER44D	TcMar-Tigger	DNA
LTR41C	ERVL	LTR
MAMREP564	Unknown	Unknown
LTR9D	ERV1	LTR
TIGGER9B	TcMar-Tigger	DNA
CHARLIE21A	hAT-Charlie	DNA
LTR29	ERV1	LTR
MAMGYPLTR1D	Gypsy	LTR
MER4E	ERV1	LTR
MER124	DNA	DNA
MER76	ERVL	LTR
MER47C	TcMar-Tigger	DNA
HSMAR1	TcMar-Mariner	DNA
LTR83	ERVL	LTR
MER105	hAT-Charlie	DNA
MER51B	ERV1	LTR
MER65C	ERV1	LTR
ORSL-2B	hAT-Tip100	DNA
L5	RTE-X	LINE
LTR87	ERVL	LTR
TIGGER5	TcMar-Tigger	DNA
MER50B	ERV1	LTR
LTR9B	ERV1	LTR
LTR16B	ERVL	LTR
MER90	ERV1	LTR
SVA_E	SVA	SVA
LTR5_HS	ERVK	LTR
MER4C	ERV1	LTR
MER52D	ERV1	LTR
MER6B	TcMar-Tigger	DNA
LTR47A	ERVL	LTR
MER45R	hAT-Tip100	DNA
LTR84A	ERVL	LTR
MAMREP1894	hAT	DNA
SATR1	Satellite	Satellite
TIGGER3D	TcMar-Tigger	DNA
LTR12F	ERV1	LTR
MER34B	ERV1	LTR
X9_LINE	L1	LINE
LTR81C	Gypsy	LTR
MAMGYPLTR3	Gypsy	LTR
TIGGER12A	TcMar-Tigger	DNA
MER110A	ERV1	LTR
LTR26	ERV1	LTR
FORDPREFECT	hAT-Tip100	DNA
MER47B	TcMar-Tigger	DNA
X7C_LINE	CR1	LINE
LTR40C	ERVL	LTR
MER5C1	hAT-Charlie	DNA
LTR25-INT	ERV1	LTR
MER34C2	ERV1	LTR
MER9A3	ERVK	LTR
MER66C	ERV1	LTR
MER94B	hAT-Blackjack	DNA
LTR40A1	ERVL	LTR
CHARLIE13A	hAT-Charlie	DNA
LOOPER	PiggyBac	DNA
MER70A	ERVL	LTR
MER113B	hAT-Charlie	DNA
PABL_A	ERV1	LTR
LTR10C	ERV1	LTR
MSTA1	ERVL-MaLR	LTR
MER65D	ERV1	LTR
LTR86A1	ERVL	LTR
UCON105	Unknown	Unknown
LTR53	ERVL	LTR
MER83	ERV1	LTR
SVA_C	SVA	SVA
LTR13	ERVK	LTR
MER57E1	ERV1	LTR
LTR12D	ERV1	LTR
MER67B	ERV1	LTR
LTR36	ERV1	LTR
CHARLIE26A	hAT-Charlie	DNA
LTR90B	LTR	LTR
MAMREP488	hAT-Tip100	DNA
MER11B	ERVK	LTR
LTR80B	ERVL	LTR
LTR5B	ERVK	LTR
MER41D	ERV1	LTR
MER67A	ERV1	LTR
MER75	PiggyBac	DNA
LTR9A1	ERV1	LTR
LTR45C	ERV1	LTR
MER57D	ERV1	LTR
ALUYI6	Alu	SINE
LTR65	ERV1	LTR
LTR43	ERV1	LTR
MER68B	ERVL	LTR
MER57C2	ERV1	LTR
LTR24B	ERV1	LTR
LTR19A	ERV1	LTR
LTR45B	ERV1	LTR
MER54B	ERVL	LTR
MSR1	Satellite	Satellite
LTR10F	ERV1	LTR
MERX	TcMar-Tigger	DNA
LTR55	ERVL	LTR
MER61B	ERV1	LTR
LTR66	ERVL	LTR
MER57F	ERV1	LTR
MER34-INT	ERV1	LTR
LTR80A	ERVL	LTR
LTR51	ERV1	LTR
MLT2E	ERVL	LTR
RICKSHA_0	MULE-MuDR	DNA
CHARLIE13B	hAT-Charlie	DNA
MLT-INT	ERVL-MaLR	LTR
SATR2	Satellite	Satellite
PABL_B	ERV1	LTR
LTR64	ERV1	LTR
MER52C	ERV1	LTR
LTR90A	LTR	LTR
LTR18B	ERVL	LTR
D20S16	Satellite	Satellite
LTR24C	ERV1	LTR
LTR14B	ERVK	LTR
ALUYA8	Alu	SINE
MER101	ERV1	LTR
HELITRON1NB_MAM	Helitron	RC
UCON55	SINE	SINE
MER41E	ERV1	LTR
MER107	hAT-Charlie	DNA
MER84	ERV1	LTR
ORSL-2A	hAT-Tip100	DNA
MER9A1	ERVK	LTR
LTR2B	ERV1	LTR
CHARLIE3	hAT-Charlie	DNA
LTR1B	ERV1	LTR
LTR28C	ERV1	LTR
LTR91	ERV3	LTR
LTR5A	ERVK	LTR
PRIMA4_LTR	ERV1	LTR
LTR68	ERV1	LTR
MER66A	ERV1	LTR
ALUYB9	Alu	SINE
LTR42	ERVL	LTR
LTR7C	ERV1	LTR
LTR62	ERVL	LTR
LTR16D2	ERVL	LTR
LTR10A	ERV1	LTR
L2D	L2	LINE
LTR6A	ERV1	LTR
MER9A2	ERVK	LTR
LTR15	ERV1	LTR
LTR2C	ERV1	LTR
MER61E	ERV1	LTR
TIGGER6B	TcMar-Tigger	DNA
LTR75	ERVL	LTR
MER61C	ERV1	LTR
LTR86A2	ERVL	LTR
LTR25	ERV1	LTR
LTR24	ERV1	LTR
LTR1D1	ERV1	LTR
LTR1D	ERV1	LTR
MER99	hAT	DNA
LTR86C	ERVL	LTR
LTR10E	ERV1	LTR
LTR1E	ERV1	LTR
LTR47A2	ERVL	LTR
LTR86B1	ERVL	LTR
LTR57	ERVL	LTR
LTR19B	ERV1	LTR
MER73	ERVL	LTR
MER97A	hAT-Tip100	DNA
MER70C	ERVL	LTR
REP522	telo	Satellite
FORDPREFECT_A	hAT-Tip100	DNA
MER126	DNA	DNA
MER57E3	ERV1	LTR
LTR86B2	ERVL	LTR
